Combination,Pct,ValAcc,DurationSec,real+stylegan1_TestAcc,real+stylegan2_TestAcc,real+styleganxl_TestAcc,real+sd14_TestAcc
real_stylegan1_stylegan2,20,0.96192,6.520675897598267,0.9710666666666666,0.9571666666666667,0.7553666666666666,0.8440666666666666
real_stylegan1_stylegan2,40,0.97614,12.787499904632568,0.9779666666666667,0.9769,0.7992666666666667,0.8709333333333333
real_stylegan1_stylegan2,60,0.98456,26.21206021308899,0.9853333333333333,0.9843666666666666,0.8145666666666667,0.8709333333333333
real_stylegan1_stylegan2,80,0.98704,24.872950792312622,0.9877666666666667,0.9869333333333333,0.8228666666666666,0.8734
real_stylegan1_stylegan2,100,0.9888,30.369151830673218,0.9892666666666666,0.9886333333333334,0.8271333333333334,0.8748666666666667
real_stylegan1_stylegan2,20,0.36746666666666666,3.39695405960083,0.5036,0.50485,,
real_stylegan1_stylegan2,40,0.5588666666666666,6.180239200592041,0.51545,0.5426,,
real_stylegan1_stylegan2,60,0.4931,9.416680574417114,0.51985,0.5256,,
real_stylegan1_stylegan2,80,0.45053333333333334,13.034847497940063,0.51425,0.5176,,
real_stylegan1_stylegan2,100,0.5958666666666667,15.592731475830078,0.50665,0.5352,,
real_stylegan1_stylegan2,20,0.98742,7.36727237701416,0.9843,0.9919,0.7988,0.8922666666666667
real_stylegan1_stylegan2,40,0.99006,13.325310945510864,0.9872333333333333,0.9934333333333333,0.8039333333333334,0.8956666666666667
real_stylegan1_stylegan2,60,0.99196,21.47934365272522,0.9903,0.9943333333333333,0.8079,0.8954333333333333
real_stylegan1_stylegan2,80,0.99262,31.762622833251953,0.9906333333333334,0.9933,0.8257333333333333,0.9062333333333333
real_stylegan1_stylegan2,100,0.9934,32.82867503166199,0.9923666666666666,0.9952,0.8098666666666666,0.8961
real_stylegan1_stylegan2,20,0.98742,6.24096417427063,0.9843,0.9919,0.7988,0.8922666666666667
real_stylegan1_stylegan2,40,0.99006,12.48299789428711,0.9872333333333333,0.9934333333333333,0.8039333333333334,0.8956666666666667
real_stylegan1_stylegan2,60,0.99196,18.76606583595276,0.9903,0.9943333333333333,0.8079,0.8954333333333333
real_stylegan1_stylegan2,80,0.99262,24.484524488449097,0.9906333333333334,0.9933,0.8257333333333333,0.9062333333333333
real_stylegan1_stylegan2,100,0.9934,30.40653157234192,0.9923666666666666,0.9952,0.8098666666666666,0.8961
real_stylegan1_stylegan2,20,0.98742,6.909607887268066,0.9843,0.9919,0.7988,0.8922666666666667
real_stylegan1_stylegan2,40,0.99006,13.331541538238525,0.9872333333333333,0.9934333333333333,0.8039333333333334,0.8956666666666667
real_stylegan1_stylegan2,60,0.99196,24.326369285583496,0.9903,0.9943333333333333,0.8079,0.8954333333333333
real_stylegan1_stylegan2,80,0.99262,28.23567795753479,0.9906333333333334,0.9933,0.8257333333333333,0.9062333333333333
real_stylegan1_stylegan2,100,0.9934,32.259267807006836,0.9923666666666666,0.9952,0.8098666666666666,0.8961
real_stylegan1_stylegan2,20,0.98742,6.372447729110718,0.9843,0.9919,0.7988,0.8922666666666667
real_stylegan1_stylegan2,0,0.6,1.665384292602539,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
real_stylegan1_stylegan2,0,0.4,0.0018110275268554688,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
real_stylegan1_stylegan2,5,0.98144,1.7791366577148438,0.9791,0.9873,0.7470333333333333,0.849
real_stylegan1_stylegan2,10,0.98552,3.6063807010650635,0.9821,0.9912666666666666,0.7892666666666667,0.8844666666666666
real_stylegan1_stylegan2,20,0.98742,7.940823078155518,0.9843,0.9919,0.7988,0.8922666666666667
real_stylegan1_stylegan2,40,0.99006,15.341323614120483,0.9872333333333333,0.9934333333333333,0.8039333333333334,0.8956666666666667
real_stylegan1_stylegan2,60,0.99196,21.883200645446777,0.9903,0.9943333333333333,0.8079,0.8954333333333333
real_stylegan1_stylegan2,80,0.99262,28.153867959976196,0.9906333333333334,0.9933,0.8257333333333333,0.9062333333333333
real_stylegan1_stylegan2,100,0.9934,36.43391489982605,0.9923666666666666,0.9952,0.8098666666666666,0.8961
real_stylegan1_stylegan2,1,0.60004,0.5627937316894531,0.6668,0.6667,0.6666666666666666,0.6666666666666666
real_stylegan1_stylegan2,5,0.94702,1.560826301574707,0.9586333333333333,0.9527,0.7007333333333333,0.7850666666666667
real_stylegan1_stylegan2,1,0.60004,0.5358724594116211,0.6668,0.6667,0.6666666666666666,0.6666666666666666
real_stylegan1_stylegan2,5,0.94702,1.649766445159912,0.9586333333333333,0.9527,0.7007333333333333,0.7850666666666667
real_stylegan1_stylegan2,1,0.6,0.5080087184906006,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
real_stylegan1_stylegan2,5,0.98412,2.0803513526916504,0.9803,0.9907666666666667,0.7906333333333333,0.8809666666666667
real_stylegan1_stylegan2,1,0.6,0.503734827041626,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
real_stylegan1_stylegan2,2,0.95334,0.7238755226135254,0.9539,0.9687,0.7129333333333333,0.7957666666666666
real_stylegan1_stylegan2,3,0.9615,1.251556158065796,0.9660666666666666,0.9692333333333333,0.7181666666666666,0.8066
real_stylegan1_stylegan2,4,0.97556,1.7262623310089111,0.973,0.9849333333333333,0.7443333333333333,0.8416666666666667
real_stylegan1_stylegan2,5,0.98126,2.126171350479126,0.9768,0.9891333333333333,0.7686,0.8656333333333334
